user,location,date,coordinates,content
brittanyagibson,"Washington, DC",2020-01-08 19:29:16,,Homes Damaged After Earthquake in Puerto Rico https://t.co/3yRidb3jS8 via @nytvideo
WrenSoar,"Salt Lake City, Utah USA",2020-01-08 19:28:35,,Puerto Rico reels from earthquake while Trump administration continues to illegally withhold aid https://t.co/iRqCOOvQxC
Keith_Event,,2020-01-08 19:28:32,,"I think Event: Earthquake has occurred in Puerto Rico
Wed Jan  8 13:25:50 2020 CDT https://t.co/T0Ic9WRCZF"
euphoniYum,"Lauderhill, FL USA",2020-01-08 19:28:10,,He and his wealthy partners-in-crime will find ways to profit off of the misery and suffering of these unfortunate… https://t.co/EBt1FRIHqO
LastQuake,"based in Paris, works globally",2020-01-08 19:28:04,"{'type': 'Point', 'coordinates': [-66.94, 17.92]}",Map of felt reports received so far following the #earthquake M4.1 in Puerto Rico Region 44 min ago https://t.co/Ta1Ea8pFzb
GreenInvestGuy,California,2020-01-08 19:27:57,,"Much of Puerto Rico still without power after worst earthquake in a century

https://t.co/WTLPI2Ha1G"
thatdudeinblue,"Atlanta, GA",2020-01-08 19:27:52,,To my car culture family in Puerto Rico you are in my thoughts and prayers after the massive earthquake. You guys t… https://t.co/hIFZ4c81Ap
nbcchicago,"Chicago, IL",2020-01-08 19:27:51,,How to Help Puerto Rico After Deadly Earthquake https://t.co/USQVL2O4Qj https://t.co/TWSoo7Zv5j
BusyLizziez,SC,2020-01-08 19:27:29,,"My brother was vacationing in Puerto Rico and came back Fay before the earthquake.
He sent these pics. https://t.co/0TH5Xwhwcb"
albertandtempie,United Kingdom,2020-01-08 19:26:58,,"COVERAGE OF THE AFTERMATH OF THE JAN 06 AND 07, 2019 PUERTO RICO EARTHQUAKE DISASTER CONTINUES https://t.co/t0zrtCNLLf"
raythemouse,Perth Western Australia,2020-01-08 19:26:25,,Puerto Rico in state of emergency after most powerful quake in over 100 years https://t.co/x5HVOMkok2
buildyourdoor,"Atlanta, GA",2020-01-08 19:26:18,,"Puerto Rico not fully recovered from Maria, is suffering from PTSD and fear or the unknown. It is the first time in… https://t.co/t8dDh0rWTu"
ebroskie1234,Salem OR,2020-01-08 19:25:27,,Deadly earthquake hits Puerto Rico  https://t.co/QUeFXxkVir
JamiahAdams,"San Francisco, CA",2020-01-08 19:25:20,,"Good people, are we paying attention to PR? 
 https://t.co/dejROt4HQs"
f_talmon,"Stuttgart, München, Berlin",2020-01-08 19:25:07,,Puerto Rico slow to bring back electricity after powerful earthquake https://t.co/lIkiz0pYKH
Skowtura_Ini,UK,2020-01-08 19:24:38,,"Light earthquake, 4.06 mag strikes near Guanica in Puerto Rico https://t.co/eePmWc4zpT"
Skowtura_Ini,UK,2020-01-08 19:24:28,,Puerto Rico slow to bring back electricity after powerful earthquake https://t.co/wZYRF8QTRD https://t.co/RsMmLkKh1W
WLKYJohnBelski,"Louisville, KY",2020-01-08 19:23:06,,As of 2:15 PM the strongest earthquake so far today in Puerto Rico has been 4.2 https://t.co/3reUQEO0Ed
danbe_kun,北半球,2020-01-08 19:23:02,,Power Outage Affects Two-Thirds of Puerto Rico After Earthquake https://t.co/74qLXzjX2r https://t.co/74HDa72Cth
JohnDoyle603,New Hampshire/Maine,2020-01-08 19:22:47,,Probably gays https://t.co/F1rOHBiN4V
MarileneIsaacs,"Indianapolis, Indiana",2020-01-08 19:22:44,,On plane leaving Puerto Rico sending love &amp; healing Light to This magical place the Earthquake activated new energy♥️💚💜
oviduran,"Cherry Hill, NJ",2020-01-08 19:22:28,,"Puerto Rico Earthquake 4th Update January 8, 2020 https://t.co/qN6WsswvlJ via @YouTube"
TemblorPR,"San Juan, PR",2020-01-08 19:22:10,,"Earthquake M4.1: Guanica, Puerto Rico via @quakefeed #TemblorPR"
klanierca,,2020-01-08 19:22:07,,"500,000 #PuertoRicans now have #electricity which was shut down by a series of very strong earthquakes. People are… https://t.co/t3R2XNhbel"
fjmonteroperal,,2020-01-08 19:21:58,,"Puerto Rico earthquake triggers blackout, reports of injuries and at least one dead https://t.co/ztf8Egbg68"
LastQuake,"based in Paris, works globally",2020-01-08 19:21:34,"{'type': 'Point', 'coordinates': [-66.94, 17.92]}",M4.1 #earthquake (#sismo) strikes 36 km W of #Ponce (Puerto Rico) 37 min ago. Effects reported by eyewitnesses: https://t.co/rLhOudABkL
YarimCorrea,"Loiza, Puerto Rico ",2020-01-08 19:21:20,,"Earthquake M4.1: Guanica, Puerto Rico via @quakefeed"
earthshook,,2020-01-08 19:21:18,"{'type': 'Point', 'coordinates': [-66.9395, 17.9245]}","Ml 4.06 earthquake (reviewed) occured at 2020-01-08T18:44:14 UTC, 6km SSW of Guanica, Puerto Rico https://t.co/VE5xrOUVEa"
Miguelluisnegro,"Puerto Rico, USA",2020-01-08 19:21:16,,"I felt an earthquake ! - PUERTO RICO REGION, Wed 08 Jan 2020 18:44:14 UTC+00:00 https://t.co/E52bA8s0xU"
spollenz,"Fort Lauderdale, FL",2020-01-08 19:21:12,,"One week into 2020: 

- Harry &amp; Meghan quit the Royals
- Australia on fire 
- US and Iran exchange missile strikes… https://t.co/rpv6CckrI8"
Jassily1,"Fajardo, Puerto Rico",2020-01-08 19:21:04,,@pulte @MrBeastYT  please help the people who lost their homes is Puerto Rico due to the earthquake.
LastQuake,"based in Paris, works globally",2020-01-08 19:20:40,"{'type': 'Point', 'coordinates': [-66.94, 17.92]}",This is the 42th felt #earthquake in Puerto Rico Region in the last 57 hours https://t.co/wPtMW5ND1t
LastQuake,"based in Paris, works globally",2020-01-08 19:20:33,"{'type': 'Point', 'coordinates': [-66.94, 17.92]}",Felt #earthquake (#sismo) M4.1 strikes 36 km W of #Ponce (Puerto Rico) 36 min ago. Please report to:… https://t.co/z2tZLFYR7S
erohtic,exo atz wnr ,2020-01-08 19:20:31,,GUYS hes a website with the list of places you can donate to or how to help! https://t.co/zuPuFEoV4T
Chunmon,"ÜT: 39.434969,-76.37142",2020-01-08 19:20:29,,"Punta Ventana, one of Puerto Rico's natural wonders, has been destroyed by an earthquake https://t.co/1yKT9YqRCy vi… https://t.co/dfblsP0Wh9"
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2020-01-08 19:20:24,,"A M4.06 earthquake has been reported by the USGS for 6km SSW of Guanica, Puerto Rico. Link: https://t.co/p4xwXXlhHW"
wbznewsradio,Boston,2020-01-08 19:20:23,,A team of disaster workers from @SalvationArmyMA is flying to Puerto Rico to help with relief efforts after several… https://t.co/OLvCwVZb3A
NYTNational,From Sea to Shining Sea,2020-01-08 19:20:04,,"“We’re just as likely to have earthquakes as a place like California, Japan, New Zealand, Alaska,” said Elizabeth V… https://t.co/6AUV4v7SiJ"
_PoncePR,"Ponce, PR",2020-01-08 19:20:00,"{'type': 'Point', 'coordinates': [-66.9395, 17.9245]}","4.1 earthquake, 6km SSW of Guanica, Puerto Rico. 2020-01-08 14:44:14 at epicenter (36m ago, depth 9km). https://t.co/NMOb6kzzSD"
raygibbs1,"Washington, D. C. ",2020-01-08 19:19:56,,Many residents afraid to go indoors after Puerto Rico's strongest earthquake since 1918 https://t.co/JGA2wxR2m3
