place,country,magnitude,rupture_time,felt,cdi,mmi,alert,longitude,latitude,depth,url,collect_data
"24km SE of Saray, Turkey",Turkey,6.0,2020-02-23 08:00:31,17,7.1,6.696,yellow,44.3645,38.4849,10,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v9g,True
"26km ESE of Saray, Turkey",Turkey,5.8,2020-02-22 21:53:01,15,7.3,6.931,yellow,44.4465,38.5429,10,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v29,True
