user,location,date,coordinates,content
infomorsels,Seattle Washington,2021-03-05 07:34:08,,Earthquake swarm in Iceland could hint at even bigger event - AccuWeather https://t.co/vmfgWJM71W
TonyCliffe210,"Maghull , UK",2021-03-05 07:31:54,,"Fascinating read! When I was in Iceland a few year's ago visiting the famous Eyjafjallajökull volcano, the guide was saying how long overdue this volcanic area was for a big eruption. All signs point to this could be the one 🌋

https://t.co/x3KyKH7So1"
HGSGeogTrips,,2021-03-05 07:00:43,,Earthquake activity in Iceland https://t.co/Frh2Rf6o7r
techy_manan,,2021-03-05 06:17:31,,"The earthquake swarm is the culmination of more than a year of intense seismic activity. It could also herald decades of intermittent volcanic eruptions. https://t.co/mnE07r9CUD World New York Times March 4, 2021 at 05:30AM""In Iceland, 18,000 Earthquake… https://t.co/IW50LtfrqU"
