user,location,date,coordinates,content
EuroGeosciences,"Munich, Germany",2021-03-02 16:01:00,,"On 31 January 2021 a Mw5.6 earthquake occurred in Southern Guyana near the border with Brazil (in the middle of a Precambrian shield). Join @EGU_Seismo on the #EGUblogs as the Earthquake Watch team find out why this #earthquake is so unusual.

Read more: https://t.co/cp8OdihtYT https://t.co/l70KLVjuWS"
guyana_news,Land of the Free,2021-02-26 11:55:26,,https://t.co/BptotjUSTq
ExBulletinUk,UK,2021-02-25 08:38:49,,Guyana earthquake “eccentric” – Stabroek News https://t.co/etTRvon9pS
