user,location,date,coordinates,content
Billy_EQ,"México,City",2021-03-05 08:03:18,,"M 4.6 - 33 km SSE of Shizunai-furukawachō, Japan #earthquake #USGS #Sismo https://t.co/AEVFq5SBn4"
silentmax,Singapore,2021-03-05 08:01:18,,4filing watch later: How 1980s Japan Became History's Wildest Party | Earthquake Bird | Netflix https://t.co/SCKVH5Sbpe
Calapouf,"In your Heart, Mind and Soul",2021-03-05 08:00:20,,"After a huge earthquake on the Ring of Fire, there are 2 spots I Eagerly await for next... Japan and Indonesia!!! 

They are like ""Hold my Beer"", i'll show you what a real Tsunami looks like!!!"
grum10,Edinburgh Scotland,2021-03-05 07:53:39,,"an hr ½ ago #earthquake 5.2 has hit Urakawa Chō (Urukawa-gun), Japan, 74.0km, 06:14 GMT (GEOFON) https://t.co/zGoW08q2OQ https://t.co/nSfoitZFfC"
