created_at,created_at_date,text
2021-03-09 04:11:10+00:00,2021-03-09,#texassnowstorm #texaspoweroutage #birds #nikonphotography https://t.co/gVfDEaHfwd
2021-03-09 03:37:45+00:00,2021-03-09,“What happened to these customers in Texas was an utter lack of regulatory oversight and basic consumer protections… https://t.co/dpvOOWiR14
2021-03-09 03:02:49+00:00,2021-03-09,"RT @DominicGBrown: #TexasBlackout saga is going to be worse than the #COVID19Pandemic

The Public Utility Commission of #Texas said it will…"
2021-03-09 02:57:14+00:00,2021-03-09,RT @chrishelle3: This @thetimes podcast is truly a testament that the WORLD 🌎watching how Texas is recovering from yet another disaster. TY…
2021-03-09 01:47:12+00:00,2021-03-09,"RT @JasmineDocal: Had the opportunity to support @HoustonFoodBank after the #TexasFreeze - Grateful for the efforts, organization, &amp; dedica…"
2021-03-09 01:11:52+00:00,2021-03-09,It’s so sad. Is anything gonna come back? Do we cut stuff down? Do we water it? Let me know!! #TexasBlackout
2021-03-09 01:11:16+00:00,2021-03-09,All those weird Miami palms people pay to have planted at their houses are DEAD AS FUCK. just dead dead dead 🥴 I’ve… https://t.co/5Z8Z71FOC6
2021-03-08 23:55:29+00:00,2021-03-08,"Day 22, hot water has been restored to the house.

Let the clothes washing, and
dish washing, and
glorious hot bath… https://t.co/RhuUnpbgo6"
2021-03-08 22:59:41+00:00,2021-03-08,RT @REALIcePoseidon: IM NOT SANE ANYMORE #TexasBlackout #austinenergy https://t.co/LnFtv5xx9o
2021-03-08 22:17:17+00:00,2021-03-08,This @thetimes podcast is truly a testament that the WORLD 🌎watching how Texas is recovering from yet another disas… https://t.co/htnvkekhWI
2021-03-08 21:09:01+00:00,2021-03-08,"RT @joshdr83: It definitely seems that during the #TexasFreeze that if the natural gas system had held up, the electricity grid could have…"
2021-03-08 20:52:26+00:00,2021-03-08,RT @Precinct2gether: #Huffman #EMS took @HarrisCoPct2 Comm. @AdrianGarciaHTX team #Door2Door today. So many people still w/o running #water…
2021-03-08 20:33:35+00:00,2021-03-08,Welcome to “Texas Temporary Housing” CRIBS: 🏨😎👀 This will be my home for the next two weeks while maintenance repai… https://t.co/GvpxQjkSSN
2021-03-08 20:24:16+00:00,2021-03-08,#Huffman #EMS took @HarrisCoPct2 Comm. @AdrianGarciaHTX team #Door2Door today. So many people still w/o running… https://t.co/kL9L1nNtsk
2021-03-08 18:49:04+00:00,2021-03-08,My home state of Texas 😭 ❤️ 🙏 #texaspoweroutage #TexasBlackout #texasstrong #UnitedWeStand #TodosUnidos https://t.co/rFUA9Hdcf3
2021-03-08 14:33:38+00:00,2021-03-08,Shame on these people...TUC ain't shit...#TexasBlackout #TexasWinterStorm2021 #Texas https://t.co/uqwAFjasNa
2021-03-08 13:29:56+00:00,2021-03-08,Due to the #TexasFreeze I didn't have time to plan my #birthday which I would normally take off.
2021-03-08 05:19:05+00:00,2021-03-08,RT @Juan_EVelazquez: Imagine all the people #new #BreakingNews #TexasFreeze https://t.co/qWPGKIbXiz
2021-03-08 04:07:21+00:00,2021-03-08,Imagine all the people #new #BreakingNews #TexasFreeze https://t.co/qWPGKIbXiz
2021-03-08 03:07:35+00:00,2021-03-08,"“Monday marks the beginning of severe weather awareness week in Southeast TX.”

talk about whiplash,
monday is when… https://t.co/wEQ3Fodknc"
2021-03-07 22:35:27+00:00,2021-03-07,"Texans, do ignore the corporate sellout of the asinine &amp; sociopathic Gov. Abbott who is playing politics with your… https://t.co/jlfjwZNGBN"
2021-03-07 22:20:20+00:00,2021-03-07,"RT @lenubienne: Please donate if you are able and amplify if not:

#VoidGives
#TexasBlackout 
#TexasWinterStorm2021 
#TexasPowerOutage
#Tex…"
2021-03-07 18:18:27+00:00,2021-03-07,"#TexasBlackout #TexasFreeze #GregAbbottFailedTexas

#Texas will not fix ERCOT's $16 billion power billing mistake… https://t.co/97x2htQfa2"
2021-03-07 16:02:34+00:00,2021-03-07,"Texas Won't Reduce $16 Billion In Electricity Charges From Winter Storm
https://t.co/gIIuRjpPHH #TrumpSOTU… https://t.co/mBr2IM32sy"
2021-03-07 15:22:48+00:00,2021-03-07,"RT @Grav1: Texas voters feel stung by the storm as a new @dallasnews/@UTTyler poll finds leaders failed to anticipate severe weather, adequ…"
2021-03-07 15:16:35+00:00,2021-03-07,2/ @GovAbbott’s response to the arctic blast and prolonged blackouts and water outages divides Texans. The poll fou… https://t.co/vKNFaM7TPt
2021-03-07 15:11:38+00:00,2021-03-07,Texas voters feel stung by the storm as a new @dallasnews/@UTTyler poll finds leaders failed to anticipate severe w… https://t.co/bZpXY05UJ3
2021-03-07 14:11:15+00:00,2021-03-07,Rare view of the #porsche #911turbo in #texassnow so took the shot before it melted https://t.co/QfiNtsB6Lr
2021-03-07 13:40:53+00:00,2021-03-07,I’ll keep saying this until Texas state leaders do something productive regarding the state’s energy grid failure..… https://t.co/bouVu1rCvr
2021-03-07 13:09:24+00:00,2021-03-07,RT @sthenrymary: Greg Abbott of Texas is Neanderthal per excellence. Lifting all restrictions in #Texas is to distract from his abysmal fai…
2021-03-07 12:17:38+00:00,2021-03-07,My opinion on #TexasFreeze: We are destined to fail again unless #txlege forms a new agency to oversee Texans' curr… https://t.co/bLKPhztDfJ
2021-03-07 07:18:33+00:00,2021-03-07,"@KevinMKruse @tedcruz lying asshole! Doesn’t care about the American people 🇺🇸🇺🇸
#TedCruzFailedTexas #TexasFreeze… https://t.co/JVXWzn7KIt"
2021-03-07 05:21:00+00:00,2021-03-07,"RT @RafaelAnchia: The point is TX needs a RESILIENT power system that can respond to EVER-INCREASING EXTREME WEATHER. At one point today, T…"
2021-03-07 01:44:22+00:00,2021-03-07,"Boiled a pot of water to use a wash rag in the sink to bathe.
#ThirdWorldTexas
#TexasFreeze 
@GregAbbott_TX"
2021-03-07 01:41:00+00:00,2021-03-07,"RT @Grav1: “It is tragic and, of course, it was all preventable:” Some in Dallas still without water 15 days after losing service due to a…"
2021-03-07 01:14:02+00:00,2021-03-07,RT @CassieDavisTX: Y’all the effects of the #TexasFreeze are still being felt heavily by communities across TX. &amp; we are still in the #COVI…
2021-03-07 00:40:25+00:00,2021-03-07,#CruzIsADisgrace #Texas #TexasFreeze https://t.co/j8a4FDVRiG
2021-03-07 00:10:59+00:00,2021-03-07,@FoxNews you have to accept defeat @GOP YOUR LIES and Ineptitude has Killed Americans.#ElectionFraudLie… https://t.co/wruqWcvfT1
2021-03-06 23:23:04+00:00,2021-03-06,RT @dwchasemodel: Clean Up time in Texas #dwchase #manly #malebody #shirtless #hairychest #vpl #malemuscle #outdoorwork @Todd_1014 @RooMac5…
2021-03-06 22:16:37+00:00,2021-03-06,RT @IndpndntThnkn: #AbbottFailedTexasAgain #TexasFreeze #TexasBlackout #texaspoweroutage #Texas
2021-03-06 20:59:59+00:00,2021-03-06,Y’all the effects of the #TexasFreeze are still being felt heavily by communities across TX. &amp; we are still in the… https://t.co/inKlbMMbkF
2021-03-06 20:19:32+00:00,2021-03-06,#AbbottFailedTexasAgain #TexasFreeze #TexasBlackout #texaspoweroutage #Texas https://t.co/faU5i4LzMF
2021-03-06 19:47:45+00:00,2021-03-06,"RT @rachelannaustin: .@staceyabrams please, PLEASE team up with @BetoORourke. Texas has become America’s problem child &amp; we need new, more…"
2021-03-06 19:44:36+00:00,2021-03-06,".@staceyabrams please, PLEASE team up with @BetoORourke. Texas has become America’s problem child &amp; we need new, mo… https://t.co/0dezV7gcPX"
2021-03-06 19:38:14+00:00,2021-03-06,#TexasFreeze #TexasBlackout #texaspoweroutage #Texas https://t.co/9nx2IP9CmU
2021-03-06 19:36:04+00:00,2021-03-06,"#TexasBlackout saga is going to be worse than the #COVID19Pandemic

The Public Utility Commission of #Texas said it… https://t.co/MzSyyrrr8K"
2021-03-06 18:51:09+00:00,2021-03-06,"Update on the garden fallout from the #TexasFreeze 
Lime ☠️ lemon ☠️ avocado ☠️ but grapefruit is ALIVE! 😍… https://t.co/rQiv8X6Wjz"
2021-03-06 15:36:13+00:00,2021-03-06,Textbook profit over people. Elections have consequences. #texaswinterstorm https://t.co/qfwhA5ew01
2021-03-06 14:50:36+00:00,2021-03-06,"“It is tragic and, of course, it was all preventable:” Some in Dallas still without water 15 days after losing serv… https://t.co/mtp6G0DLpP"
2021-03-06 13:51:56+00:00,2021-03-06,Amazing work by @brendanpierpont with detailed and interactive visualization of which power plants tripped offline… https://t.co/34LtyMqYBC
2021-03-06 13:44:01+00:00,2021-03-06,"It definitely seems that during the #TexasFreeze that if the natural gas system had held up, the electricity grid c… https://t.co/8X8D7XWh4z"
2021-03-06 13:02:10+00:00,2021-03-06,"Had the opportunity to support @HoustonFoodBank after the #TexasFreeze - Grateful for the efforts, organization, &amp;… https://t.co/0quRpiUl2A"
2021-03-06 08:25:31+00:00,2021-03-06,"RT @ChrisPerriTX: Only the most screwed up state government would say, “Let’s let $16 BILLION in overcharges stand even though they’re our…"
2021-03-06 08:20:14+00:00,2021-03-06,"Only the most screwed up state government would say, “Let’s let $16 BILLION in overcharges stand even though they’r… https://t.co/7SnLTToflN"
2021-03-06 07:49:35+00:00,2021-03-06,There's a hole in my ceiling now and ceiling in my bathtub from the burst piping from the #texasfreeze all I'm hopi… https://t.co/wN2dlMhMkL
2021-03-06 04:25:45+00:00,2021-03-06,Thank you to ALL the #SERVPRO crews that are in #Texas right now to help our community during their time of need.… https://t.co/nlgB55pjLD
2021-03-06 03:49:53+00:00,2021-03-06,"When you privatise a public utility and they overcharge by $1.6 BILLION,
and you were without power in freezing tem… https://t.co/ZP8Z3jWX6p"
2021-03-06 02:20:21+00:00,2021-03-06,"Umm, #Texas are you ok? It looks like there is going to be another #TexasFreeze coming! 🥶 https://t.co/StvB99FP58"
2021-03-06 00:20:52+00:00,2021-03-06,"The moment you realize that a Hacky Sack might make your back patio...the patio of your dreams.

#TexasFreeze"
2021-03-06 00:10:20+00:00,2021-03-06,How about we try the inauguration on 1st Tuesday of the month going forward for any month with an ‘R’ in the name.… https://t.co/qmZTqWDrGq
2021-03-05 23:52:19+00:00,2021-03-05,#candlelightphotography #texaspoweroutage #nikkor35mmf14 #nikonphotography https://t.co/dmpIigcv5f
2021-03-05 21:33:42+00:00,2021-03-05,"RT @pawf1067: Truly phenomenal energy production from our #solarpanels today. Glad to decrease our carbon footprint &amp; give back.
If more #T…"
2021-03-05 20:44:51+00:00,2021-03-05,"It’s ok, it’s really Woke so who cares, we already know Woke Texans are willing to freeze for Windmills, kill a few… https://t.co/kE5DiZXz6d"
2021-03-05 17:02:49+00:00,2021-03-05,"RT @ISAACforTexas: “We’ve forgotten that cold is a deadly foe and that reliable electricity is crucial not just to our comfort, but our sur…"
2021-03-05 16:07:19+00:00,2021-03-05,"Idk where I've been, but I just found out the #TexasFreeze storm was named Uri. And now all I can think of is... https://t.co/Ck9WpP763w"
2021-03-05 15:58:23+00:00,2021-03-05,@ArkansasOnline @ArkBusiness @GOP KILL #COVID #CapitolRiots #TexasFreeze @FightGOPLies https://t.co/HuFQlTZ8GV
