user,location,date,coordinates,content
TheMEAsiaLink,,2021-02-11 11:53:08,,"#Turkey's Disaster &amp; Emergency Mgmt Authority receives #Japan Ambassador Award for assistance after 2011 #Fukushima #earthquake. Turkey's team was first in &amp; longest-working foreign team despite #radiation hazard emitted from the crippled #nuclear plant.
https://t.co/p3PGIlcVDt"
geocappiello,〽️aples  🇮🇹,2021-02-11 11:18:48,,"#11February #February11 #11Şubat #11Febbraio #2月11日 2021

#earthquake 18 km west of Aliağa, Turkey 🇹🇷

Magnitude ML 3.9

Local time 11:45:29 2021-02-11
UTC time   08:45:29 2021-02-11
Locality      38°.86 N ; 26°.81 E
Depth        5 km

via CSEM-EMSC
#terremoto #deprem #Turkey https://t.co/c0gE4LhKnX"
TumDepremler,Türkiye,2021-02-11 11:18:12,,"#DEPREM #EARTHQUAKE
CANDARLI KORFEZI
https://t.co/DTLZDXEwep
11.02.2021, 14:00:15 TSİ (LocalTime)
Büyüklük (Magnitude): 2.0 ML
Derinlik (Depth): 14.6 KM

#Türkiye #Turkey #Candarli #Korfezi #CandarliKorfezi"
TumDepremler,Türkiye,2021-02-11 11:06:13,,"#DEPREM #EARTHQUAKE
AKDENIZ
https://t.co/hYwBQ1AWTL
11.02.2021, 13:55:30 TSİ (LocalTime)
Büyüklük (Magnitude): 1.9 ML
Derinlik (Depth): 28.3 KM

#Türkiye #Turkey #Akdeniz"
TumDepremler,Türkiye,2021-02-11 10:54:16,,"#DEPREM #EARTHQUAKE
AFSAR-BALA (ANKARA)
https://t.co/driAyBoJFJ
11.02.2021, 13:42:59 TSİ (LocalTime)
Büyüklük (Magnitude): 1.1 ML
Derinlik (Depth): 9.4 KM

#Türkiye #Turkey #Afsar #Bala #Ankara"
ENSO1998,SE PA  USA,2021-02-11 10:32:21,,"Moderate mag. 4.0 earthquake - Aegean Sea, 18 km west of Aliağa, Izmir, Turkey, on Thursday, 11 Feb 2021 11:45 am (GMT +3) https://t.co/GrQH5uzIaL"
IlkhaAgency,Türkiye,2021-02-11 10:20:00,,"A 4.0 magnitude earthquake hits western Turkey @DepremDairesi #izmirdeprem #deprem #earthquake #Dikili #Persembe
https://t.co/XSb1m9tybC https://t.co/lAJxS0jZD2"
TumDepremler,Türkiye,2021-02-11 09:45:17,,"#DEPREM #EARTHQUAKE
EGE DENIZI
https://t.co/7SbOxJCe3x
11.02.2021, 12:34:57 TSİ (LocalTime)
Büyüklük (Magnitude): 2.1 ML
Derinlik (Depth): 10.2 KM

#Türkiye #Turkey #Ege #Denizi #EgeDenizi"
TumDepremler,Türkiye,2021-02-11 09:33:11,,"#DEPREM #EARTHQUAKE
MEVLUTLU-TUZLUKCU (KONYA)
https://t.co/MxAihms9o8
11.02.2021, 12:26:22 TSİ (LocalTime)
Büyüklük (Magnitude): 1.7 ML
Derinlik (Depth): 23.5 KM

#Türkiye #Turkey #Mevlutlu #Tuzlukcu #Konya"
TumDepremler,Türkiye,2021-02-11 09:27:15,,"#DEPREM #EARTHQUAKE
AKYAZI (SAKARYA)
https://t.co/BfyWlX2X5e
11.02.2021, 12:06:22 TSİ (LocalTime)
Büyüklük (Magnitude): 1.7 ML
Derinlik (Depth): 7.8 KM

#Türkiye #Turkey #Akyazi #Sakarya #AkyaziSakarya"
