user,location,date,coordinates,content
DR___White,"San Diego, CA",2021-01-31 04:19:19,,"#earthquake #Seismology M 5.1 - 63 km W of San Antonio de los Cobres, Argentina at UTC 2021-01-31 03:59:26 preliminary https://t.co/QllJGTH4Hp https://t.co/42bKCHJxvm"
EarthquakeTw,,2021-01-31 04:19:13,,"M5.1 depth:168.65km,2021-01-31T03:59:26.683 UTC,lat:-24.2289 lng:-66.9403,63 km W of San Antonio de los Cobres, Argentina|ID:us6000ddcd https://t.co/fFcyomb5fR #earthquake Earthquakes Today (past 24 hrs,only quakes &gt;= M4.0) https://t.co/SKgaGWiAQn https://t.co/kIx4xvTdrG"
QuakesToday,,2021-01-31 04:19:04,"{'type': 'Point', 'coordinates': [-66.94, -24.229]}","5.1 magnitude #earthquake. 63 km from #SanAntoniodelosCobres, Salta, Argentina https://t.co/GfCQpdSED3"
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2021-01-31 04:19:02,,"A M5.1 earthquake has been reported by the USGS for 63 km W of San Antonio de los Cobres, Argentina. Link: https://t.co/NO8hWpRiMO"
DiariosRobot,Gran Canaria,2021-01-31 04:18:58,,"⚠️ Atención Terremoto de magnitud 5.1 ubicado en: 63 km W of San Antonio de los Cobres, Argentina a 168.65 Kms de profundidad. El Terremoto se produjo a las 03:59 del 31/01/2021. https://t.co/P34zOxSIzD
#terremoto #eartquake"
earthshook,,2021-01-31 04:18:34,"{'type': 'Point', 'coordinates': [-66.9403, -24.2289]}","Mb 5.1 earthquake (reviewed) occured at 2021-01-31T03:59:26 UTC, 63 km W of San Antonio de los Cobres, Argentina https://t.co/5LrNNyqsHz"
EQAlerts,,2021-01-31 04:07:01,,"Moderate yet deep #earthquake of magnitude 5.1 just reported 71 km west of San Antonio de los Cobres, Argentina - info, user reports and updates
https://t.co/YkXGmi79HJ"
myearthquakeapp,Earth,2021-01-31 04:06:22,,"4.9 earthquake occurred near Salta, Argentina at 03:59 UTC! #earthquake #Salta https://t.co/w88mcZjTpl"
EarthquakeTw,,2021-01-31 04:06:18,,"M4.9 depth:210.0km,2021-01-31T03:59:26.0Z UTC,lat:-24.22 lng:-67.09,SALTA, ARGENTINA|ID:20210131_0000027 https://t.co/v0Mi2VdCyo #earthquake Earthquakes Today (past 24 hrs,only quakes &gt;= M4.0) https://t.co/SKgaGWiAQn https://t.co/bBemOemEpT"
EMSC,"Bruyères-Le-Chatel, France",2021-01-31 04:05:59,,#Earthquake (#sismo) M4.9 strikes 78 km W of San Antonio de los Cobres (#Argentina) 7 min ago. More info: https://t.co/SPBzEAeQUX
