source_name,title,url,date,content
Science Daily,Revisiting the Kobe earthquake and the variations of atmospheric radon concentration,https://www.sciencedaily.com/releases/2021/03/210304100429.htm,2021-03-04,"Tohoku University researchers have unearthed further details about radon concentration in the atmosphere before and after earthquakes, moving us closer to being able to anticipate when large earthqua… [+1633 chars]"
Phys.Org,Revisiting the Kobe earthquake and the variations of atmospheric radon concentration,https://phys.org/news/2021-03-revisiting-kobe-earthquake-variations-atmospheric.html,2021-03-04,"Tohoku University researchers have unearthed further details about radon concentration in the atmosphere before and after earthquakes, moving us closer to being able to anticipate when large earthqua… [+2261 chars]"
The Hindu,New Zealand remembers 185 who died in earthquake 10 years ago,https://www.thehindu.com/news/international/new-zealand-remembers-185-who-died-in-earthquake-10-years-ago/article33901105.ece,2021-02-22,"New Zealand lowered its flags on Monday and made special note of those who couldn't travel as it marked the 10th anniversary of the Christchurch earthquake that killed 185 people.
Hundreds of people… [+3528 chars]"
The Japan Times,Cultural assets in Japan’s Tohoku region damaged by earthquake off Fukushima,https://www.japantimes.co.jp/news/2021/02/18/national/fukushima-earthquake-cultural-assets/,2021-02-18,"A powerful earthquake that struck northeastern and eastern regions of Japan late Saturday damaged 71 cultural assets, mainly in Fukushima and Miyagi prefectures, according to the Cultural Affairs Age… [+1628 chars]"
