epoch, train_loss_D, train_loss_G,train_Acc, val_Acc, cm00, cm01, cm02, cm10, cm11, cm12, cm20, cm21, cm22
0, 3.105553, 1.064828, 0.416667, 0.333333, 0.000000, 27.000000, 17.000000, 0.000000, 1.000000, 0.000000, 0.000000, 46.000000, 44.000000
1, 3.087227, 0.849910, 0.250000, 0.251852, 0.000000, 31.000000, 13.000000, 0.000000, 1.000000, 0.000000, 0.000000, 57.000000, 33.000000
2, 2.685657, 0.197514, 0.250000, 0.214815, 0.000000, 32.000000, 12.000000, 0.000000, 1.000000, 0.000000, 0.000000, 62.000000, 28.000000
3, 2.532452, 0.216235, 0.500000, 0.237037, 0.000000, 32.000000, 12.000000, 0.000000, 1.000000, 0.000000, 0.000000, 59.000000, 31.000000
4, 2.348345, 0.096458, 0.333333, 0.296296, 0.000000, 31.000000, 13.000000, 0.000000, 1.000000, 0.000000, 0.000000, 51.000000, 39.000000
