epoch, train_loss_D, train_loss_G,train_Acc, val_Acc, cm00, cm01, cm02, cm10, cm11, cm12, cm20, cm21, cm22
39, 2.423962, 0.028153, 0.500000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
40, 2.485986, 0.063347, 0.455556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
41, 2.428088, 0.014789, 0.455556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
42, 2.298224, 0.015723, 0.477778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
43, 2.269457, 0.028459, 0.466667, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
44, 2.193003, 0.022189, 0.388889, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
45, 2.217379, 0.004831, 0.522222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
46, 2.270783, 0.013846, 0.411111, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
47, 2.335675, 0.019475, 0.388889, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
48, 2.258243, 0.034471, 0.466667, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 84.000000, 6.000000, 0.000000
49, 2.158346, 0.012052, 0.455556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 81.000000, 9.000000, 0.000000
50, 2.065788, 0.017071, 0.422222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
51, 2.103144, 0.024595, 0.522222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
52, 2.114956, 0.012362, 0.444444, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
53, 2.099082, 0.009032, 0.500000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
54, 2.159344, 0.021084, 0.455556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
55, 2.114653, 0.017992, 0.477778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
56, 2.103377, 0.023988, 0.555556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
57, 2.021501, 0.007174, 0.511111, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
58, 2.033952, 0.017408, 0.600000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
59, 1.880424, 0.015534, 0.488889, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
60, 2.099319, 0.004923, 0.555556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
61, 2.094557, 0.029739, 0.522222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
62, 1.993060, 0.025170, 0.522222, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
63, 1.894255, 0.003989, 0.533333, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
64, 1.866866, 0.043079, 0.511111, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
65, 1.883665, 0.046099, 0.544444, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
66, 1.997252, 0.024583, 0.633333, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 80.000000, 10.000000, 0.000000
67, 2.089576, 0.029512, 0.566667, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 79.000000, 11.000000, 0.000000
68, 2.040299, 0.038318, 0.511111, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 79.000000, 11.000000, 0.000000
69, 1.850043, 0.013875, 0.544444, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 79.000000, 11.000000, 0.000000
70, 1.760598, 0.024782, 0.577778, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 79.000000, 11.000000, 0.000000
71, 1.788951, 0.006420, 0.600000, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 79.000000, 11.000000, 0.000000
72, 1.727337, 0.003252, 0.588889, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
73, 1.856946, 0.025970, 0.522222, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
74, 1.791404, 0.018719, 0.555556, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
75, 1.816444, 0.007089, 0.566667, 0.303704, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
76, 1.593146, 0.032562, 0.577778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
77, 1.630294, 0.035914, 0.522222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
78, 1.739664, 0.008044, 0.577778, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
79, 1.699034, 0.015318, 0.555556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
80, 1.675344, 0.008904, 0.588889, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
81, 1.708914, 0.006523, 0.600000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
82, 1.680408, 0.005591, 0.555556, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 78.000000, 12.000000, 0.000000
83, 1.658599, 0.002206, 0.533333, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 77.000000, 13.000000, 0.000000
84, 1.685869, 0.003796, 0.622222, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 77.000000, 13.000000, 0.000000
85, 1.696120, 0.010651, 0.500000, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 77.000000, 13.000000, 0.000000
86, 1.615903, 0.013826, 0.566667, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 77.000000, 13.000000, 0.000000
87, 1.481382, 0.046833, 0.566667, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 77.000000, 13.000000, 0.000000
88, 1.591938, 0.021515, 0.633333, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 77.000000, 13.000000, 0.000000
89, 1.660207, 0.042232, 0.622222, 0.318519, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 76.000000, 13.000000, 1.000000
90, 1.513290, 0.032866, 0.566667, 0.318519, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 76.000000, 13.000000, 1.000000
91, 1.524818, 0.024653, 0.633333, 0.318519, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 74.000000, 14.000000, 2.000000
92, 1.456546, 0.047828, 0.577778, 0.318519, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 74.000000, 14.000000, 2.000000
93, 1.506573, 0.003679, 0.688889, 0.318519, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 74.000000, 14.000000, 2.000000
94, 1.592051, 0.028683, 0.622222, 0.325926, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 73.000000, 14.000000, 3.000000
95, 1.530158, 0.041288, 0.666667, 0.325926, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 73.000000, 14.000000, 3.000000
96, 1.568917, 0.010114, 0.655556, 0.325926, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 73.000000, 14.000000, 3.000000
97, 1.376388, 0.024589, 0.622222, 0.325926, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 73.000000, 14.000000, 3.000000
98, 1.420510, 0.029858, 0.644444, 0.325926, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 73.000000, 14.000000, 3.000000
99, 1.357262, 0.023556, 0.688889, 0.325926, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 73.000000, 14.000000, 3.000000
100, 1.460675, 0.010289, 0.711111, 0.325926, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 73.000000, 14.000000, 3.000000
101, 1.458775, 0.013037, 0.555556, 0.333333, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 72.000000, 14.000000, 4.000000
102, 1.340263, 0.012419, 0.644444, 0.333333, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 72.000000, 14.000000, 4.000000
103, 1.404126, 0.011457, 0.711111, 0.340741, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 70.000000, 15.000000, 5.000000
104, 1.423576, 0.031721, 0.722222, 0.348148, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 69.000000, 15.000000, 6.000000
105, 1.223536, 0.017583, 0.677778, 0.355556, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 68.000000, 15.000000, 7.000000
106, 1.326406, 0.010234, 0.611111, 0.355556, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 68.000000, 15.000000, 7.000000
107, 1.418854, 0.013491, 0.677778, 0.377778, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 65.000000, 15.000000, 10.000000
108, 1.343232, 0.006979, 0.633333, 0.385185, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 64.000000, 15.000000, 11.000000
109, 1.396790, 0.001421, 0.666667, 0.392593, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 63.000000, 15.000000, 12.000000
110, 1.344190, 0.005028, 0.722222, 0.392593, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 64.000000, 14.000000, 12.000000
111, 1.248809, 0.013432, 0.777778, 0.392593, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 64.000000, 14.000000, 12.000000
112, 1.273200, 0.012871, 0.733333, 0.392593, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 64.000000, 14.000000, 12.000000
113, 1.257074, 0.010121, 0.777778, 0.400000, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 63.000000, 14.000000, 13.000000
114, 1.134664, 0.061074, 0.688889, 0.400000, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 63.000000, 14.000000, 13.000000
115, 1.218135, 0.016803, 0.688889, 0.400000, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 63.000000, 14.000000, 13.000000
116, 1.220665, 0.005987, 0.733333, 0.407407, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 63.000000, 13.000000, 14.000000
117, 1.140724, 0.003108, 0.688889, 0.407407, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 63.000000, 13.000000, 14.000000
118, 1.212914, 0.008066, 0.722222, 0.407407, 41.000000, 3.000000, 0.000000, 1.000000, 0.000000, 0.000000, 63.000000, 13.000000, 14.000000
119, 1.108990, 0.030359, 0.733333, 0.414815, 41.000000, 2.000000, 1.000000, 1.000000, 0.000000, 0.000000, 62.000000, 13.000000, 15.000000
120, 1.162410, 0.014172, 0.755556, 0.414815, 41.000000, 2.000000, 1.000000, 1.000000, 0.000000, 0.000000, 62.000000, 13.000000, 15.000000
121, 1.109866, 0.072673, 0.722222, 0.437037, 41.000000, 2.000000, 1.000000, 1.000000, 0.000000, 0.000000, 60.000000, 12.000000, 18.000000
122, 1.021503, 0.071415, 0.766667, 0.429630, 40.000000, 1.000000, 3.000000, 1.000000, 0.000000, 0.000000, 60.000000, 12.000000, 18.000000
123, 1.297764, 0.006137, 0.711111, 0.444444, 40.000000, 1.000000, 3.000000, 1.000000, 0.000000, 0.000000, 58.000000, 12.000000, 20.000000
124, 1.209231, 0.071317, 0.733333, 0.444444, 40.000000, 1.000000, 3.000000, 1.000000, 0.000000, 0.000000, 58.000000, 12.000000, 20.000000
125, 1.281436, 0.060347, 0.800000, 0.451852, 39.000000, 1.000000, 4.000000, 1.000000, 0.000000, 0.000000, 57.000000, 11.000000, 22.000000
126, 1.157677, 0.049694, 0.766667, 0.459259, 38.000000, 2.000000, 4.000000, 1.000000, 0.000000, 0.000000, 56.000000, 10.000000, 24.000000
127, 1.077516, 0.024195, 0.755556, 0.466667, 38.000000, 2.000000, 4.000000, 1.000000, 0.000000, 0.000000, 55.000000, 10.000000, 25.000000
128, 1.064074, 0.034127, 0.733333, 0.474074, 38.000000, 2.000000, 4.000000, 1.000000, 0.000000, 0.000000, 54.000000, 10.000000, 26.000000
129, 1.070029, 0.003818, 0.722222, 0.481481, 38.000000, 2.000000, 4.000000, 1.000000, 0.000000, 0.000000, 53.000000, 10.000000, 27.000000
130, 1.165492, 0.005631, 0.744444, 0.481481, 38.000000, 2.000000, 4.000000, 1.000000, 0.000000, 0.000000, 53.000000, 10.000000, 27.000000
131, 1.178362, 0.012905, 0.744444, 0.488889, 38.000000, 2.000000, 4.000000, 1.000000, 0.000000, 0.000000, 52.000000, 10.000000, 28.000000
132, 0.974154, 0.040964, 0.733333, 0.503704, 38.000000, 2.000000, 4.000000, 1.000000, 0.000000, 0.000000, 50.000000, 10.000000, 30.000000
133, 1.136680, 0.014866, 0.733333, 0.503704, 37.000000, 4.000000, 3.000000, 1.000000, 0.000000, 0.000000, 49.000000, 10.000000, 31.000000
134, 1.126312, 0.005667, 0.822222, 0.518519, 37.000000, 4.000000, 3.000000, 1.000000, 0.000000, 0.000000, 47.000000, 10.000000, 33.000000
135, 1.140712, 0.008488, 0.788889, 0.518519, 36.000000, 4.000000, 4.000000, 1.000000, 0.000000, 0.000000, 46.000000, 10.000000, 34.000000
136, 1.077989, 0.024154, 0.711111, 0.525926, 36.000000, 4.000000, 4.000000, 1.000000, 0.000000, 0.000000, 45.000000, 10.000000, 35.000000
137, 0.956798, 0.025329, 0.744444, 0.533333, 36.000000, 4.000000, 4.000000, 1.000000, 0.000000, 0.000000, 44.000000, 10.000000, 36.000000
138, 1.110793, 0.046623, 0.688889, 0.533333, 35.000000, 4.000000, 5.000000, 1.000000, 0.000000, 0.000000, 43.000000, 10.000000, 37.000000
139, 1.054896, 0.045496, 0.811111, 0.540741, 35.000000, 4.000000, 5.000000, 1.000000, 0.000000, 0.000000, 42.000000, 10.000000, 38.000000
140, 1.038612, 0.138207, 0.666667, 0.548148, 35.000000, 4.000000, 5.000000, 1.000000, 0.000000, 0.000000, 41.000000, 10.000000, 39.000000
141, 1.139134, 0.037306, 0.811111, 0.548148, 35.000000, 4.000000, 5.000000, 1.000000, 0.000000, 0.000000, 41.000000, 10.000000, 39.000000
142, 1.066103, 0.067557, 0.833333, 0.548148, 35.000000, 4.000000, 5.000000, 1.000000, 0.000000, 0.000000, 41.000000, 10.000000, 39.000000
143, 0.934256, 0.160189, 0.755556, 0.548148, 35.000000, 3.000000, 6.000000, 1.000000, 0.000000, 0.000000, 41.000000, 10.000000, 39.000000
144, 0.874794, 0.012384, 0.766667, 0.540741, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 41.000000, 10.000000, 39.000000
145, 0.973838, 0.037658, 0.800000, 0.548148, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 40.000000, 10.000000, 40.000000
146, 1.178486, 0.008800, 0.822222, 0.562963, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 39.000000, 9.000000, 42.000000
147, 0.978348, 0.077005, 0.822222, 0.562963, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 39.000000, 9.000000, 42.000000
148, 1.002978, 0.085317, 0.800000, 0.577778, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 37.000000, 9.000000, 44.000000
149, 1.024355, 0.056359, 0.788889, 0.592593, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 36.000000, 8.000000, 46.000000
150, 0.976983, 0.024546, 0.855556, 0.607407, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
151, 1.007860, 0.021147, 0.766667, 0.600000, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 36.000000, 7.000000, 47.000000
152, 1.007786, 0.019926, 0.788889, 0.600000, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 36.000000, 7.000000, 47.000000
153, 1.007935, 0.017813, 0.800000, 0.600000, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 36.000000, 7.000000, 47.000000
154, 0.950726, 0.014903, 0.866667, 0.600000, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 36.000000, 7.000000, 47.000000
155, 0.928558, 0.007012, 0.833333, 0.600000, 34.000000, 2.000000, 8.000000, 1.000000, 0.000000, 0.000000, 36.000000, 7.000000, 47.000000
156, 0.983539, 0.029341, 0.833333, 0.592593, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 36.000000, 7.000000, 47.000000
157, 0.931259, 0.014148, 0.833333, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
158, 0.867578, 0.005366, 0.844444, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
159, 0.843867, 0.003543, 0.822222, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
160, 0.911987, 0.006118, 0.822222, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
161, 0.966747, 0.014793, 0.833333, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
162, 0.958373, 0.006587, 0.811111, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
163, 0.946935, 0.014775, 0.844444, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
164, 0.940114, 0.013176, 0.833333, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
165, 0.850832, 0.053435, 0.788889, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
166, 0.901619, 0.025507, 0.788889, 0.600000, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 35.000000, 7.000000, 48.000000
167, 0.819905, 0.080929, 0.888889, 0.607407, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 34.000000, 7.000000, 49.000000
168, 0.893015, 0.044381, 0.811111, 0.614815, 33.000000, 2.000000, 9.000000, 1.000000, 0.000000, 0.000000, 33.000000, 7.000000, 50.000000
169, 0.903206, 0.013796, 0.755556, 0.629630, 33.000000, 1.000000, 10.000000, 1.000000, 0.000000, 0.000000, 31.000000, 7.000000, 52.000000
170, 0.900667, 0.008824, 0.800000, 0.629630, 33.000000, 1.000000, 10.000000, 1.000000, 0.000000, 0.000000, 31.000000, 7.000000, 52.000000
171, 0.858823, 0.056996, 0.788889, 0.622222, 32.000000, 1.000000, 11.000000, 1.000000, 0.000000, 0.000000, 31.000000, 7.000000, 52.000000
